"Date","city","original_start","wave","citycode","New_cases","New_cases_smooth","growth_rate","I","Mean.R.","Std.R.","Quantile.0.025.R.","Quantile.0.05.R.","Quantile.0.25.R.","Median.R.","Quantile.0.75.R.","Quantile.0.95.R.","Quantile.0.975.R.","variant","GDP","pop_density","pop","Doctor.number","VG","Label_q","Temp","Hum","total_vaccination_rate","fully_vaccination_rate","boost_dose_rate","Practical.vaccination","Control","Mass_screening","Medicine_Management","Logistics_Management","School_Closure","Workplace_Closure","Gathering_restriction","Public_Transportation_Closure","Business_Premises_Closure","Facial_Mask","Lockdown","Static_management","Screening"
2021-10-12,"阿拉善盟","2021-10-19",1,152900,0,0.4565,1.91,0.4565,2.05564771899965,0.581122871367995,1.07920102282229,1.20182286657257,1.63975587405696,2.00115434457248,2.41224941047516,3.09543063065185,3.34145297707577,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,283.549239410401,0.00286162540600977,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-13,"阿拉善盟","2021-10-19",1,152900,1,0.7724,1.69,0.7724,1.94354310123935,0.456122711318866,1.15480943740267,1.25886911605858,1.61962251421483,1.90798001475974,2.22874658370115,2.74956037930439,2.93423509844087,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,282.772292022789,0.00237110532395465,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-14,"阿拉善盟","2021-10-19",1,152900,1,1.2185,1.58,1.2185,1.84324241271307,0.363714340324874,1.20057485622249,1.28847105702669,1.58666340158263,1.81937531609241,2.07382742909659,2.47944291667519,2.62147694157353,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.401921488392,0.00218434644713334,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-15,"阿拉善盟","2021-10-19",1,152900,1,1.8664,1.53,1.8664,1.7498644832419,0.29481859692966,1.22041075791048,1.29476475181128,1.54303662490116,1.73333553094703,1.93868585178506,2.2613541997488,2.37321680732956,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.314757541614,0.00170894975829344,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-16,"阿拉善盟","2021-10-19",1,152900,2,2.815,1.51,2.815,1.65910107042271,0.242946585618157,1.21746936156886,1.28071152198266,1.48942346796407,1.64725781835164,1.81587459637717,2.07789347167272,2.16801861163004,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,279.075699350407,0.00162211642523689,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-17,"阿拉善盟","2021-10-19",1,152900,3,4.1452,1.47,4.1452,1.56734210870053,0.203573242293979,1.19394753284219,1.24818524578628,1.42565823946581,1.55853731329788,1.69943147168419,1.91653552141796,1.99076287217138,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.355281455541,0.00224806317157391,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-18,"阿拉善盟","2021-10-19",1,152900,5,5.8822,1.42,5.8822,1.47390934926303,0.173686806294303,1.15326937393834,1.20031999354806,1.35334094328809,1.46709252204887,1.58704899212583,1.77075316983227,1.83328195589631,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.72492443343,0.00185305410175966,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-19,"阿拉善盟","2021-10-19",1,152900,8,7.9832,1.36,7.9832,1.38093039833738,0.151214957958568,1.10053530624039,1.14196694048887,1.27615446741192,1.37541487907923,1.47969541945822,1.63870894193233,1.69266495945853,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,280.092358026996,0.0020366663233513,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0571428571428571,0,0,0,0,0.666666666666667,0,0,0.5,0.2,0.186666666666667,0.0285714285714285
2021-10-20,"阿拉善盟","2021-10-19",1,152900,9,10.3184,1.29,10.3184,1.29091386722531,0.134574202611861,1.04068139315209,1.0778167187713,1.19777778004814,1.28624056118312,1.37895676741113,1.51995296743306,1.56770069117379,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,280.95517554043,0.00164014319330076,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.0857142857142857,0.0476190476190476,0.111111111111111,0.0972222222222222,0.145833333333333,0.777777777777778,0.133928571428571,0.125,0.625,0.32,0.307190476190476,0.0666666666666666
2021-10-21,"阿拉善盟","2021-10-19",1,152900,13,12.6259,1.22,12.6259,1.20469658972982,0.122475705464494,0.976650542413433,1.01056508014188,1.11998293973247,1.20054863627087,1.28488954940638,1.41297788772177,1.45631202300876,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.546750141886,0.0016169240598319,0.763250453333333,0.732637173333333,0,0.369981772533333,0,0.114285714285714,0.0952380952380951,0.222222222222222,0.194444444444444,0.291666666666667,0.888888888888889,0.267857142857143,0.25,0.75,0.44,0.427714285714286,0.104761904761905
2021-10-22,"阿拉善盟","2021-10-19",1,152900,17,14.5071,1.15,14.5071,1.12148873406747,0.113914622371083,0.909373037836295,0.940920789800251,1.04269820481208,1.11763416200654,1.19607831593783,1.3152056623761,1.35550677777404,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,282.460757605589,0.00223562327836837,0.763250453333333,0.732637173333333,0,0.369981772533333,0.555555555555556,0.142857142857143,0.142857142857143,0.333333333333333,0.291666666666667,0.4375,1,0.401785714285714,0.375,0.875,0.56,0.548238095238095,0.142857142857143
2021-10-23,"阿拉善盟","2021-10-19",1,152900,19,15.5505,1.07,15.5505,1.04038030259752,0.108199154336695,0.839164341106144,0.869031529488188,0.965502023298578,1.0366318259584,1.11117331213882,1.22451617272469,1.26289562362334,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,282.560164125197,0.00279224631660473,0.763250453333333,0.746445015833333,0,0.376954732995833,1,0.171428571428571,0.19047619047619,0.333333333333333,0.388888888888889,0.583333333333333,1,0.535714285714286,0.5,1,0.68,0.664317460317461,0.180952380952381
2021-10-24,"阿拉善盟","2021-10-19",1,152900,19,15.5304,1,15.5304,0.961523951125781,0.10492285588184,0.766928204276706,0.795691048415027,0.888829703587453,0.957710212272391,1.03006191082231,1.14036665204701,1.17778958471271,"delta",304.8,9.82962962962963e-05,26.54,2411,"delta",3,281.961368724898,0.00263468594950111,0.763250453333333,0.746445015833333,0,0.376954732995833,1,0.2,0.238095238095238,0.333333333333333,0.486111111111111,0.729166666666667,1,0.669642857142857,0.625,1,0.8,0.780396825396826,0.219047619047619
