Date,citycode,city,Lockdown,Business_Premises_Closure,Business_Premises_Closure_intensity,Public_Transportation_Closure,Public_Transportation_Closure_intensity,Mass_screening,Mass_screening_intensity,Gathering_restriction,Gathering_restriction_intensity,Facial_Mask,Workplace_Closure,Workplace_Closure_intensity,School_Closure,School_Closure_intensity,Logistics_Management,Logistics_Management_intensity,Medicine_Management,Medicine_Management_intensity
2020/5/28,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/5/29,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/5/30,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/5/31,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/1,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/2,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/3,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/4,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/5,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/6,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/7,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/8,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/9,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/10,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/11,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/12,110000,北京市,1,2,4,2,4,1,0,1,4,1,0,1,2,4,0,4,1,4
2020/6/13,110000,北京市,2,3,2,2,2,5,2,2,2,2,1,2,3,2,3,2,3,2
2020/6/14,110000,北京市,3,3,3,2,3,5,2,2,3,2,1,3,3,3,3,3,3,3
2020/6/15,110000,北京市,3,3,3,2,3,5,2,2,3,2,1,3,3,3,3,3,3,3
2020/6/16,110000,北京市,3,3,3,2,3,5,2,2,3,2,1,3,3,3,3,3,3,3
2020/6/17,110000,北京市,3,3,3,2,3,5,2,2,3,2,1,3,3,3,3,3,3,3
2020/6/18,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/19,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/20,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/21,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/22,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/23,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/24,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/25,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/26,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/27,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/28,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/29,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/6/30,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/1,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/2,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/3,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/4,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/5,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/6,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/7/7,110000,北京市,4,4,4,3,4,5,2,3,4,2,2,4,3,4,3,4,3,4
2020/12/10,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/11,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/12,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/13,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/14,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/15,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/16,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/17,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/18,110000,北京市,1,2,4,1,4,1,0,1,4,2,0,4,0,4,1,4,1,4
2020/12/19,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/20,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/21,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/22,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/23,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/24,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/25,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/26,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/27,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/28,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/29,110000,北京市,3,4,2,2,4,3,2,2,4,2,0,3,0,4,2,4,1,4
2020/12/30,110000,北京市,3,4,2,2,4,3,2,3,4,2,0,3,0,4,2,4,1,4
2020/12/31,110000,北京市,3,4,3,2,4,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/1,110000,北京市,3,4,3,2,4,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/2,110000,北京市,3,4,3,2,4,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/3,110000,北京市,3,4,3,2,4,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/4,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/5,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/6,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/7,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/8,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/9,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/10,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/11,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/12,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/13,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/14,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/15,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,3,2,4,1,4
2021/1/16,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/17,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/18,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/19,110000,北京市,3,4,3,3,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/20,110000,北京市,4,4,3,3,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/21,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/22,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/23,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/24,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/25,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2021/1/26,110000,北京市,4,4,4,2,2,3,2,3,4,2,0,3,2,4,2,4,1,4
2022/1/6,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/7,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/8,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/9,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/10,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/11,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/12,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/13,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/14,110000,北京市,1,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/15,110000,北京市,2,1,4,1,4,1,0,1,4,1,0,4,0,4,1,4,1,4
2022/1/16,110000,北京市,2,2,4,2,4,2,2,2,4,2,1,4,1,4,2,4,2,4
2022/1/17,110000,北京市,2,2,4,2,4,2,2,2,4,2,1,4,1,4,2,4,2,4
2022/1/18,110000,北京市,2,2,4,2,4,2,2,2,4,2,1,4,1,4,2,4,2,4
2022/1/19,110000,北京市,2,4,2,2,4,2,2,2,4,2,1,4,1,4,2,4,2,4
2022/1/20,110000,北京市,3,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/21,110000,北京市,3,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/22,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/23,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/24,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/25,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/26,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/27,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/28,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/29,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/30,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/1/31,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/1,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/2,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/3,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/4,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/5,110000,北京市,4,4,2,2,4,3,2,3,3,2,1,4,1,4,2,4,2,4
2022/2/27,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/2/28,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/1,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/2,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/3,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/4,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/5,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/6,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/7,110000,北京市,2,1,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,4
2022/3/8,110000,北京市,2,1,4,1,4,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/9,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/10,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/11,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/12,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/13,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/14,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/15,110000,北京市,2,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/16,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/17,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/18,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/19,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/20,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/21,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/22,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/23,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/3/24,110000,北京市,3,4,2,4,2,2,2,3,4,2,2,2,2,2,2,4,2,4
2022/4/11,110000,北京市,4,4,1,4,1,2,3,3,2,2,2,2,2,2,2,2,2,4
2022/4/12,110000,北京市,4,4,1,4,1,2,3,3,2,2,2,2,2,2,2,2,2,4
