province,city,citycode,outbreak_ID,start,end,infection_source,source_country,variant,"Pango  
lineage",Mass_screening_time,infected Source1,dataSource2,dataSource3,dataSource4,dataSource5,dataSource6,,
安徽省,合肥市,340100,26,2022/3/21,2022/4/27,境内关联,上海,omicron,BA.2,,https://3g.163.com/local/article/H2G2VDQ304079BLH.html,,,,,,,
安徽省,芜湖市,340200,26,2022/3/24,2022/4/5,境内关联,上海,omicron,BA.2,4,https://www.sohu.com/a/532865530_121119260,https://view.inews.qq.com/a/20220420A0BBKQ00,,,,,,
安徽省,芜湖市,340200,26,2022/4/17,2022/4/21,境内关联,上海,omicron,BA.2,,https://www.dadasou.com/news/160257.html,,,,,,,
安徽省,淮南市,340400,26,2022/3/27,2022/4/22,境内关联,上海,omicron,BA.2,5,http://hn.bendibao.com/news/202248/4267.shtm,,,,,,,
安徽省,马鞍山市,340500,26,2022/3/14,2022/3/21,境内关联,常州,omicron,BA.2,4,https://www.mas.gov.cn/zxzx/tzgg/20717961.html,https://www.mas.gov.cn/zxzx/tzgg/20707771.html,https://zhidao.baidu.com/question/2211296221018082908.html,,,,,
安徽省,铜陵市,340700,26,2022/3/14,2022/3/31,境内关联,上海,omicron,,8,https://www.tl.gov.cn/zxzx/294/jjdyyqfkzjz/zxtb/202203/t20220314_1801697.html,https://www.tl.gov.cn/zxzx/294/jjdyyqfkzjz/zxtb/202203/t20220330_1820558.html,https://baijiahao.baidu.com/s?id=1727279475509614741&wfr=spider&for=pc,,,,,
安徽省,黄山市,341000,80,2022/5/13,2022/5/22,不详,,omicron,,,https://www.xiaohongshu.com/discovery/item/62809c970000000001024c74,,,,,,,
安徽省,滁州市,341100,26,2022/4/10,2022/4/20,境内关联,上海,omicron,BA.2,4,https://www.chuzhou.gov.cn/zxzx/gsgg/1110039289.html,https://www.chuzhou.gov.cn/zxzx/gsgg/1110056318.html,,,,,,
安徽省,阜阳市,341200,26,2022/3/27,2022/4/15,境内关联,上海,omicron,BA.2,5,http://vip.people.com.cn/albumsDetail?aid=1539135,,,,,,,
安徽省,六安市,341500,81,2022/4/2,2022/4/21,疑似输入,服装厂,omicron,,6,https://baijiahao.baidu.com/s?id=1729806997602245753&wfr=spider&for=pc,http://news.sohu.com/a/539010132_121106991,,,,,,
安徽省,亳州市,341600,67,2022/4/23,2022/4/30,不详,,,,,,,,,,,,
北京市,北京市,110000,2,2020/6/11,2020/7/10,疑似冷链传播,,original,,1,http://henan.china.com.cn/m/2020-10/28/content_41339553.html,,,,,,,
北京市,北京市,110000,8,2020/12/23,2021/1/29,境外输入关联,印度尼西亚,original,,6,http://t.ynet.cn/baijia/30081269.html,,,,,,,
北京市,北京市,110000,14,2021/7/28,2021/8/10,境内关联,,delta,,4,http://wjw.beijing.gov.cn/wjwh/ztzl/xxgzbd/gzbdyqtb/202108/t20210801_2453364.html,http://www.bjchy.gov.cn/dynamic/jxdt/8a24fe837b50fac8017b51c4ccd5004a.html,,,,,,
北京市,北京市,110000,17,2021/10/19,2021/11/15,境内关联,银川,delta,B.1.617.2,1,https://baijiahao.baidu.com/s?id=1714094304806707003&wfr=spider&for=pc,https://baijiahao.baidu.com/s?id=1714316511043863062&wfr=spider&for=pc,,,,,,
北京市,北京市,110000,26,2022/3/7,2022/3/25,境内关联,上海,omicron,BA.2,2,,,,,,,,
