province,city,ID,pop,GDP,Land Area,Number of Licensed (Assistant) Doctors (person),,
安徽省,蚌埠市,340300,331.7,2083,5951,10191,,
安徽省,亳州市,341600,498.6,1806,8522.58,11339,,
安徽省,滁州市,341100,399,3032,13433,10327,,
安徽省,阜阳市,341200,817.1,2805,10118.17,19564,,
安徽省,合肥市,340100,946.5,10046,11445,29045,,
安徽省,淮南市,340400,304,1337,5533,7864,,
安徽省,黄山市,341000,133.2,850,9807,3790,,
安徽省,六安市,341500,439.37,1670,15451.2,11343,,
安徽省,马鞍山市,340500,215.7,2187,4049,5837,,
安徽省,铜陵市,340700,130.6,1004,2991.8735,4129,,
安徽省,芜湖市,340200,367.2,3753,6009.02,10555,,
北京市,北京市,110000,2188.6,36103,16410.54,118541,,
福建省,福州市,350100,842,10020,11968,25459,,
福建省,宁德市,350900,315,2619,13500,6521,,
福建省,莆田市,350300,322,2644,4200,6618,,
福建省,泉州市,350500,885,10159,11015,19635,,
福建省,厦门市,350200,528,6384,1700.61,16121,,
福建省,漳州市,350600,507,4546,12600,11171,,
甘肃省,白银市,620400,150.3,497,21200,3976,,
甘肃省,兰州市,620100,438.43,2887,13100,14883,,
甘肃省,天水市,620500,295.65,667,14300,6586,,
广东省,东莞市,441900,1053.68,9650,2460.1,21812,,
广东省,佛山市,440600,961.26,10816,3797.72,21919,,
广东省,广州市,440100,1881.06,25019,7434.4,62369,,
广东省,惠州市,441300,606.6,4221,11347,15005,,
广东省,茂名市,440900,621.97,3279,11427.63,13838,,
广东省,深圳市,440300,1768.16,27670,1997.47,42576,,
广东省,云浮市,445300,239.33,1002,7786.64,5178,,
广东省,湛江市,440800,703.09,3100,13263,14204,,
广东省,肇庆市,441200,412.97,2311,14897.45,8874,,
广东省,中山市,442000,446.69,3152,1800.14,9859,,
广东省,珠海市,440400,246.67,3482,1736.45,8007,,
广西省,百色市,451000,357.15,1334,36300,7798,,
广西省,崇左市,451400,208.87,809,17300,4046,,
广西省,防城港市,450600,104.61,733,6238,2260,,
广西省,桂林市,450300,494.59,2130,27800,14380,,
广西省,钦州市,450700,330.22,1388,10897,6760,,
贵州省,遵义市,520300,659.32,3720,30762,18081,,
海南省,海口市,460100,287.34,1792,3126.83,10713,,
海南省,琼海市,469002,52.82,292.1,1710,3431,,
海南省,三亚市,460200,103.14,695,1921,3098,,
河北省,保定市,130600,924.26,3954,22000,37020,,
河北省,沧州市,130900,730.4,3700,14304.26,22647,,
