province,one_dose,vaccination_rate,fully_vaccination,fully_vaccination_rate,booster dose,pop
安徽省,5213.2,85.4,5113.1,83.8,2177,6113
北京市,2285.5,104.4,2222.6,101.5,1531.9,2188.6
福建省,3899.7,93.9,3792.4,91.3,2077.6,4187
甘肃省,2183.4,87.3,2140.7,85.6,1356.3,2501.98
广东省,12915,102.5,12325.8,97.8,7610.1,12684
广西省,4479.5,89.4,4345.4,86.7,2118.5,5012.68
贵州省,3398.2,88.1,3334.4,86.5,1507.7,3852
海南省,981.3,97.3,943.8,93.6,558.3,1020.46
河北省,6803.3,91.2,6634.4,88.9,3468.6,7448
河南省,8821.3,88.8,8447,85,4145.4,9883
黑龙江省,2513.2,78.9,2468,77.5,1899.6,3125
湖北省,4920.2,85.2,4830.9,83.6,3429.7,5830
湖南省,5448.3,82,5289.2,79.6,2590.7,6622
吉林省,2009.6,83.5,1948,80.9,749.7,2407.35
江苏省,7918.3,93.4,7661.7,90.4,4197.7,8505.4
江西省,3826.9,84.7,3760.2,83.2,2258.9,4517.4
辽宁省,3678,86.4,3565.4,83.7,2008.9,4229.4
内蒙古自治区,2125,88.4,2083.6,86.6,1286.3,2400
宁夏省,642.1,89.1,618.4,85.9,339.9,725
青海省,536.6,90.6,522.2,88.1,281.9,594
山东省,9353.2,92.1,9192.1,90.5,5957.2,10169.99
山西省,3051.5,87.4,2965.2,84.9,1159.6,3480.48
陕西省,3549.6,89.8,3427,86.7,2073.1,3954
上海市,2365.7,95.1,2255.5,90.7,1154.8,2489.43
四川省,7165.3,85.6,7046.6,84.2,4576.4,8372
天津市,1297.5,93.6,1274.2,91.9,762.7,1373
西藏,369.8,101.4,356,97.6,204.6,364.81
新疆维吾尔自治区,2241.1,97,2181.9,94.5,1378.6,2589
云南省,4221.7,89.4,4148.4,87.9,2967.7,4690
浙江省,6620,102.5,6456.5,100,3890.4,6540
重庆市,2846.7,88.8,2790.8,87.1,1437.3,3212.43
